City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jalu,68,LY,1650150632,30,29.0331,21.5482,72.59,17.05
Cartagena,40,CO,1650150632,79,10.3997,-75.5144,83.82,6.91
Calhoun,100,US,1650150633,44,42.2506,-85.0005,37.98,10.36
Tegul'det,100,RU,1650150633,77,57.3064,88.1667,45.7,9.64
Ribeira Grande,22,PT,1650150633,77,38.5167,-28.7,60.1,17.02
Talcahuano,0,CL,1650150635,72,-36.7167,-73.1167,56.88,4.61
Marrakesh,0,MA,1650150635,38,31.6315,-8.0083,73.47,5.75
Saldanha,0,ZA,1650150635,64,-33.0117,17.9442,59.9,11.99
Vanavara,100,RU,1650150635,97,60.34,102.2797,37.72,10.69
Touros,59,BR,1650150636,80,-5.1989,-35.4608,80.44,7.31
Tiksi,56,RU,1650150636,94,71.6872,128.8694,-2.69,4.92
Vila,78,PT,1650150636,85,42.0304,-8.1588,48.7,2.77
Severo-Kuril'sk,100,RU,1650150636,71,50.6789,156.125,32.13,10.63
Viedma,8,AR,1650150636,75,-40.8135,-62.9967,57.61,12.01
Kaitangata,82,NZ,1650150637,59,-46.2817,169.8464,52.07,5.19
Chumikan,100,RU,1650150637,81,54.7183,135.315,26.35,2.39
South River,80,US,1650150637,59,40.4465,-74.386,68.38,13.24
Santa Isabel Rio Negro,73,BR,1650150637,87,-0.4139,-65.0192,75.27,2.21
Cidreira,100,BR,1650150638,72,-30.1811,-50.2056,65.84,7.49
Olafsvik,100,IS,1650150638,97,64.8945,-23.7142,43.92,12.39
Salalah,20,OM,1650150638,89,17.0151,54.0924,80.69,1.14
Airai,54,TL,1650150638,85,-8.9266,125.4092,63.95,1.61
Ciudad Bolivar,69,VE,1650150639,42,8.1222,-63.5497,90.19,14.03
Iqaluit,100,CA,1650150639,78,63.7506,-68.5145,9.7,1.61
Pimenta Bueno,15,BR,1650150639,96,-11.6725,-61.1936,74.05,2.93
Del Rio,0,US,1650150639,43,29.3627,-100.8968,93.31,9.22
Ahipara,100,NZ,1650150640,70,-35.1667,173.1667,68.2,14.54
Kyren,70,RU,1650150640,61,51.6828,102.1408,36.01,3.0
Datong,100,CN,1650150641,27,40.0936,113.2914,51.04,1.99
Cayenne,40,GF,1650150641,1,4.9333,-52.3333,81.09,5.01
East London,100,ZA,1650150641,80,-33.0153,27.9116,62.1,7.92
Ponta do Sol,100,PT,1650150641,39,32.6667,-17.1,72.23,7.0
Bambous Virieux,52,MU,1650150641,83,-20.3428,57.7575,77.22,14.65
Richards Bay,100,ZA,1650150642,88,-28.783,32.0377,63.37,5.95
Esmeraldas,34,BR,1650150642,71,-19.7625,-44.3139,70.66,5.01
Chabahar,12,IR,1650150642,68,25.2919,60.643,81.99,9.95
